,基金代码,基金简称,类型,2021-07-14-单位净值,2021-07-14-累计净值,2021-07-13-单位净值,2021-07-13-累计净值,增长值,增长率,市价,折价率
0,511010,国泰上证5年期国债ETF行情,债券型-长债,124.3110,1.2560,124.3180,1.2560,-0.0070,-0.01%,124.2790,0.03%
1,159926,嘉实中证中期国债ETF行情,债券型-长债,115.6460,1.1560,115.7970,1.1580,-0.1510,-0.13%,115.4890,0.14%
2,511310,富国中证10年期国债ETF行情,债券型-长债,114.2355,1.1424,114.2897,1.1429,-0.0542,-0.05%,112.6000,1.43%
3,511260,国泰上证10年期国债ETF行情,债券型-长债,114.0270,1.1400,113.9610,1.1400,0.0660,0.06%,114.3300,-0.27%
4,511280,华夏3-5年信用债ETF行情,债券型-长债,111.1399,1.1114,111.4222,1.1142,-0.2823,-0.25%,111.6000,-0.41%
5,159972,鹏华中证5年地债ETF行情,债券型-长债,107.4165,1.0764,107.3698,1.0759,0.0467,0.04%,106.2800,1.06%
6,511020,平安中证5-10年国债活跃券ETF行情,债券型-长债,107.0946,1.0809,107.1283,1.0813,-0.0337,-0.03%,107.1000,-0.01%
7,511270,海富通上证10年期ETF行情,债券型-长债,106.3474,1.1462,106.3149,1.1458,0.0325,0.03%,105.5500,0.75%
8,511360,海富通中证短融ETF行情,债券型-中短债,102.6592,1.0266,102.6454,1.0265,0.0138,0.01%,102.6450,0.01%
9,511060,海富通上证5年期ETF行情,债券型-长债,102.3711,1.0622,102.3498,1.0620,0.0213,0.02%,101.5060,0.85%
10,159816,鹏华0-4年地方政府债ETF行情,债券型-长债,101.2740,1.0262,101.2136,1.0256,0.0604,0.06%,100.4980,0.77%
11,511220,海富通上证城投债ETF行情,债券型-长债,98.2600,1.2900,98.1870,1.2890,0.0730,0.07%,96.5040,1.79%
12,159943,大成深证成份ETF行情,指数型-股票,17.4730,1.1470,17.6230,1.1570,-0.1500,-0.85%,17.3510,0.70%
13,511380,博时可转债ETF行情,债券型-可转债,10.9851,1.0985,11.0210,1.1021,-0.0359,-0.33%,10.6850,2.73%
14,511030,平安中债债利差因子ETF行情,债券型-长债,10.4981,1.0908,10.4936,1.0904,0.0045,0.04%,10.4950,0.03%
15,511180,海富通上证投资级可转债ETF行情,债券型-可转债,10.3787,1.0379,10.4028,1.0403,-0.0241,-0.23%,10.3740,0.05%
16,510580,易方达中证500ETF行情,指数型-股票,7.8741,1.2133,7.9415,1.2237,-0.0674,-0.85%,7.8900,-0.20%
17,510500,南方中证500ETF行情,指数型-股票,7.7337,2.1679,7.7996,2.1864,-0.0659,-0.84%,7.7450,-0.15%
18,159968,博时中证500ETF行情,指数型-股票,7.6271,1.5035,7.6900,1.5159,-0.0629,-0.82%,7.6280,-0.01%
19,510590,平安中证500ETF行情,指数型-股票,7.5567,1.2609,7.6218,1.2718,-0.0651,-0.85%,7.5580,-0.02%
20,510530,工银中证500ETF行情,指数型-股票,6.9832,1.3500,7.0437,1.3617,-0.0605,-0.86%,6.9950,-0.17%
21,159970,工银瑞信深证100ETF行情,指数型-股票,6.9400,1.5190,6.9934,1.5307,-0.0534,-0.76%,6.9440,-0.06%
22,515360,方正富邦沪深300ETF行情,指数型-股票,6.0626,1.4963,6.1324,1.5136,-0.0698,-1.14%,6.0780,-0.25%
23,515930,永赢沪深300ETF行情,指数型-股票,5.9810,1.5567,6.0497,1.5746,-0.0687,-1.14%,5.9900,-0.15%
24,515350,民生加银沪深300ETF行情,指数型-股票,5.8889,1.4639,5.9558,1.4805,-0.0669,-1.12%,5.8890,0.00%
25,510130,中盘ETF行情,指数型-股票,5.8773,2.0215,5.9437,2.0443,-0.0664,-1.12%,5.8510,0.45%
26,510220,华泰柏瑞上证中小盘ETF行情,指数型-股票,5.8652,1.6137,5.9156,1.6275,-0.0504,-0.85%,5.8030,1.06%
27,159916,深F60ETF行情,指数型-股票,5.6854,3.0976,5.7343,3.1243,-0.0489,-0.85%,5.6640,0.38%
28,515830,工银瑞信中证800ETF行情,指数型-股票,5.5110,1.1014,5.5673,1.1126,-0.0563,-1.01%,5.5060,0.09%
29,515660,国联安沪深300ETF行情,指数型-股票,5.4924,1.4186,5.5551,1.4348,-0.0627,-1.13%,5.4900,0.04%
30,510390,平安沪深300ETF行情,指数型-股票,5.3325,1.3414,5.3940,1.3561,-0.0615,-1.14%,5.3390,-0.12%
31,515380,泰康沪深300ETF行情,指数型-股票,5.2590,1.2811,5.3201,1.2960,-0.0611,-1.15%,5.2580,0.02%
32,510350,工银瑞信沪深300ETF行情,指数型-股票,5.1738,1.3569,5.2326,1.3723,-0.0588,-1.12%,5.1710,0.05%
33,510330,华夏沪深300ETF行情,指数型-股票,5.1418,2.3381,5.2011,2.3624,-0.0593,-1.14%,5.1400,0.04%
34,510300,华泰柏瑞沪深300ETF行情,指数型-股票,5.1415,2.0782,5.2012,2.1004,-0.0597,-1.15%,5.1390,0.05%
35,159919,嘉实沪深300ETF行情,指数型-股票,5.1308,2.2427,5.1901,2.2678,-0.0593,-1.14%,5.1240,0.13%
36,512600,嘉实中证主要消费ETF行情,指数型-股票,4.9428,4.9428,4.9361,4.9361,0.0067,0.14%,4.9520,-0.19%
37,159902,华夏中小企业100ETF行情,指数型-股票,4.8550,4.9750,4.9210,5.0410,-0.0660,-1.34%,4.8510,0.08%
38,510120,海富通上证非周期ETF行情,指数型-股票,4.4660,1.8810,4.5010,1.8960,-0.0350,-0.78%,4.3990,1.50%
39,510180,华安上证180ETF行情,指数型-股票,4.1412,4.4003,4.1994,4.4545,-0.0582,-1.39%,4.1440,-0.07%
40,510190,华安上证龙头ETF行情,指数型-股票,4.1080,1.5740,4.1540,1.5920,-0.0460,-1.11%,4.1050,0.07%
41,510710,博时上证50ETF行情,指数型-股票,4.0893,1.2642,4.1532,1.2839,-0.0639,-1.54%,4.0860,0.08%
42,159901,易方达深证100ETF行情,指数型-股票,4.0801,7.8619,4.1120,7.9225,-0.0319,-0.78%,4.0730,0.17%
43,510110,海富通上证周期ETF行情,指数型-股票,4.0260,1.6160,4.1070,1.6480,-0.0810,-1.97%,4.0700,-1.09%
44,510600,申万菱信上证50ETF行情,指数型-股票,3.8699,1.5768,3.9291,1.6010,-0.0592,-1.51%,3.8690,0.02%
45,518890,中银上海金ETF行情,商品（不含QDII）,3.7720,0.9077,3.7637,0.9057,0.0083,0.22%,3.7680,0.11%
46,518860,建信上海金ETF行情,商品（不含QDII）,3.7486,0.8908,3.7401,0.8888,0.0085,0.23%,3.7300,0.50%
47,518850,华夏黄金ETF行情,商品（不含QDII）,3.7430,0.9635,3.7347,0.9614,0.0083,0.22%,3.7380,0.13%
48,518600,广发上海金ETF行情,商品（不含QDII）,3.7420,0.9166,3.7337,0.9145,0.0083,0.22%,3.7260,0.43%
49,518660,工银瑞信黄金ETF行情,商品（不含QDII）,3.7411,0.9695,3.7329,0.9674,0.0082,0.22%,3.7410,0.00%
50,159812,前海开源黄金ETF行情,商品（不含QDII）,3.7404,0.9625,3.7322,0.9604,0.0082,0.22%,3.7380,0.06%
51,518680,富国上海金ETF行情,商品（不含QDII）,3.7399,0.9338,3.7317,0.9317,0.0082,0.22%,3.7340,0.16%
