,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002475.SZ,20210129,51.45,53.99,51.44,53.1,50.35,2.75,5.4618,1148204.07,6048822.471
1,002475.SZ,20210128,53.5,53.5,50.04,50.35,53.79,-3.4399999999999977,-6.3952,1228387.21,6301783.109
2,002475.SZ,20210127,52.5,54.41,52.39,53.79,52.78,1.009999999999998,1.9136,687573.42,3665534.374
3,002475.SZ,20210126,54.28,55.48,52.6,52.78,55.21,-2.4299999999999997,-4.4014,976987.98,5255231.744
4,002475.SZ,20210125,53.5,56.55,52.01,55.21,57.49,-2.280000000000001,-3.9659,2043919.61,11100122.091
5,002475.SZ,20210122,58.72,59.47,56.5,57.49,57.9,-0.4099999999999966,-0.7081,891659.61,5135566.882
6,002475.SZ,20210121,56.46,58.5,56.41,57.9,56.21,1.6899999999999977,3.0066,900293.33,5174934.256
7,002475.SZ,20210120,56.2,56.55,55.0,56.21,55.71,0.5,0.8975,751365.83,4193144.12
8,002475.SZ,20210119,57.8,57.87,55.52,55.71,57.9,-2.1899999999999977,-3.7824,1092621.87,6146833.932
9,002475.SZ,20210118,57.5,58.88,57.5,57.9,57.4,0.5,0.8711,777859.26,4519950.341
10,002475.SZ,20210115,59.0,59.88,56.36,57.4,59.82,-2.4200000000000017,-4.0455,1007419.63,5837483.662
11,002475.SZ,20210114,62.31,63.26,59.65,59.82,62.11,-2.289999999999999,-3.687,1139794.44,6956819.755
12,002475.SZ,20210113,60.2,62.61,59.66,62.11,60.37,1.740000000000002,2.8822,1241958.65,7659221.392
13,002475.SZ,20210112,60.0,60.62,58.38,60.37,61.0,-0.6300000000000026,-1.0328,1131937.32,6745319.448
14,002475.SZ,20210111,60.01,61.06,58.8,61.0,60.01,0.990000000000002,1.6497,1280450.98,7672326.386
15,002475.SZ,20210108,59.46,61.0,58.9,60.01,58.5,1.509999999999998,2.5812,1489615.27,8921331.481
16,002475.SZ,20210107,55.88,58.56,55.2,58.5,55.56,2.9399999999999977,5.2916,1458989.24,8378821.173
17,002475.SZ,20210106,56.33,57.48,55.0,55.56,56.25,-0.6899999999999977,-1.2267,910359.62,5108131.216
18,002475.SZ,20210105,53.58,56.27,53.35,56.25,54.07,2.1799999999999997,4.0318,1254141.9,6873512.662
19,002475.SZ,20210104,55.8,55.9,53.04,54.07,56.12,-2.049999999999997,-3.6529,1430340.21,7723657.661
20,002475.SZ,20201231,56.0,57.14,55.2,56.12,56.08,0.03999999999999915,0.0713,621498.33,3483265.405
21,002475.SZ,20201230,55.06,56.29,55.06,56.08,55.5,0.5799999999999983,1.045,600036.82,3342355.035
22,002475.SZ,20201229,56.17,56.4,54.69,55.5,55.58,-0.0799999999999983,-0.1439,580708.13,3237582.03
23,002475.SZ,20201228,56.55,56.85,55.21,55.58,56.56,-0.980000000000004,-1.7327,660476.82,3687951.763
24,002475.SZ,20201225,56.01,58.22,55.81,56.56,55.73,0.8300000000000054,1.4893,839649.65,4803436.986
25,002475.SZ,20201224,55.48,56.77,54.85,55.73,55.47,0.259999999999998,0.4687,733550.92,4107276.064
26,002475.SZ,20201223,53.21,55.5,53.21,55.47,52.49,2.979999999999997,5.6773,1272601.3,6952737.788
27,002475.SZ,20201222,52.15,53.72,51.66,52.49,52.92,-0.4299999999999997,-0.8125,778906.15,4102959.923
28,002475.SZ,20201221,51.02,53.0,50.77,52.92,51.48,1.4400000000000048,2.7972,656343.19,3419086.439
29,002475.SZ,20201218,52.72,52.72,50.7,51.48,52.39,-0.9100000000000037,-1.737,513225.54,2640751.302
30,002475.SZ,20201217,52.59,53.16,51.77,52.39,52.33,0.060000000000002274,0.1147,507771.64,2662460.997
31,002475.SZ,20201216,51.4,52.98,51.4,52.33,50.34,1.9899999999999949,3.9531,1024141.06,5356231.675
32,002475.SZ,20201215,49.62,50.65,49.32,50.34,49.81,0.5300000000000011,1.064,498497.9,2492759.975
33,002475.SZ,20201214,50.6,50.77,48.8,49.81,50.68,-0.8699999999999974,-1.7167,882913.38,4359614.391
34,002475.SZ,20201211,52.0,52.06,50.0,50.68,51.8,-1.1199999999999974,-2.1622,648409.87,3294180.907
35,002475.SZ,20201210,52.39,52.6,51.35,51.8,53.05,-1.25,-2.3563,536064.0,2777151.899
36,002475.SZ,20201209,53.0,54.84,52.99,53.05,52.55,0.5,0.9515,796065.05,4281597.728
37,002475.SZ,20201208,52.94,53.0,52.22,52.55,52.77,-0.22000000000000597,-0.4169,392539.94,2063595.769
38,002475.SZ,20201207,52.28,52.88,51.8,52.77,52.14,0.6300000000000026,1.2083,528857.65,2777575.287
39,002475.SZ,20201204,51.29,52.46,50.71,52.14,51.27,0.8699999999999974,1.6969,513233.03,2652980.046
40,002475.SZ,20201203,51.4,51.96,51.18,51.27,51.6,-0.3299999999999983,-0.6395,477449.05,2456404.802
41,002475.SZ,20201202,52.63,52.63,51.08,51.6,52.68,-1.0799999999999983,-2.0501,674643.38,3480466.295
42,002475.SZ,20201201,52.0,52.87,51.5,52.68,51.69,0.990000000000002,1.9153,620557.53,3242831.249
43,002475.SZ,20201130,52.8,53.0,51.52,51.69,52.0,-0.3100000000000023,-0.5962,800319.86,4200388.543
44,002475.SZ,20201127,50.58,52.1,49.99,52.0,50.18,1.8200000000000003,3.6269,644944.24,3293313.112
45,002475.SZ,20201126,50.71,50.99,49.22,50.18,51.08,-0.8999999999999986,-1.7619,621315.52,3105359.936
46,002475.SZ,20201125,51.45,52.16,50.85,51.08,50.97,0.10999999999999943,0.2158,556547.99,2859199.251
47,002475.SZ,20201124,51.17,51.48,49.49,50.97,51.68,-0.7100000000000009,-1.3738,909347.47,4586100.896
48,002475.SZ,20201123,52.28,52.72,51.04,51.68,52.18,-0.5,-0.9582,682026.5,3525595.825
49,002475.SZ,20201120,52.3,53.46,51.78,52.18,52.04,0.14000000000000057,0.269,530841.64,2785684.292
50,002475.SZ,20201119,52.44,52.89,51.72,52.04,52.43,-0.39000000000000057,-0.7438,432396.14,2254918.364
51,002475.SZ,20201118,52.68,52.9,51.7,52.43,53.38,-0.9500000000000028,-1.7797,607917.91,3178048.431
52,002475.SZ,20201117,52.0,53.49,50.4,53.38,52.79,0.5900000000000034,1.1176,1106301.99,5729009.646
53,002475.SZ,20201116,55.87,55.87,51.17,52.79,55.87,-3.0799999999999983,-5.5128,1534373.6,8068832.555
54,002475.SZ,20201113,57.05,57.3,55.51,55.87,57.05,-1.1799999999999997,-2.0684,539773.46,3032652.116
55,002475.SZ,20201112,57.36,57.76,56.76,57.05,56.7,0.3499999999999943,0.6173,295576.19,1690440.691
56,002475.SZ,20201111,57.96,58.47,56.69,56.7,58.11,-1.4099999999999966,-2.4264,503100.12,2881051.992
57,002475.SZ,20201110,59.0,59.16,57.51,58.11,59.6,-1.490000000000002,-2.5,612931.71,3571231.131
58,002475.SZ,20201109,60.21,61.68,59.19,59.6,59.05,0.5500000000000043,0.9314,922278.9,5587775.843
59,002475.SZ,20201106,58.92,59.09,58.08,59.05,58.49,0.5599999999999952,0.9574,567474.95,3327248.353
60,002475.SZ,20201105,59.0,59.27,57.6,58.49,57.93,0.5600000000000023,0.9667,570310.14,3336812.073
61,002475.SZ,20201104,56.55,58.25,56.55,57.93,56.85,1.0799999999999983,1.8997,519331.61,2998249.881
62,002475.SZ,20201103,56.78,57.4,55.89,56.85,56.48,0.37000000000000455,0.6551,406918.23,2308247.976
63,002475.SZ,20201102,54.9,56.92,54.7,56.48,54.86,1.6199999999999974,2.953,599803.8,3355099.868
64,002475.SZ,20201030,58.5,58.63,54.45,54.86,58.4,-3.539999999999999,-6.0616,1138379.42,6379109.436
65,002475.SZ,20201029,58.05,59.0,57.52,58.4,59.44,-1.0399999999999991,-1.7497,634571.33,3702376.813
66,002475.SZ,20201028,58.19,59.88,56.7,59.44,57.62,1.8200000000000003,3.1586,931389.67,5449228.84
67,002475.SZ,20201027,57.38,57.78,56.34,57.62,57.5,0.11999999999999744,0.2087,457591.32,2616686.768
