,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600111.SH,20210408,19.84,20.36,19.46,19.95,19.95,0.0,0.0,1335605.89,2672146.869
1,600111.SH,20210407,19.1,20.25,18.64,19.95,19.16,0.7899999999999991,4.1232,1567180.03,3084947.617
2,600111.SH,20210406,18.99,19.45,18.9,19.16,18.99,0.1700000000000017,0.8952,662761.48,1274772.417
3,600111.SH,20210402,19.19,19.44,18.72,18.99,19.24,-0.25,-1.2994,800636.05,1520393.533
4,600111.SH,20210401,19.05,19.75,18.9,19.24,19.12,0.11999999999999744,0.6276,886880.81,1716176.771
5,600111.SH,20210331,19.48,19.66,18.82,19.12,19.86,-0.7399999999999984,-3.7261,1160767.44,2230993.395
6,600111.SH,20210330,18.53,20.37,18.41,19.86,18.58,1.2800000000000011,6.8891,1965854.92,3836842.289
7,600111.SH,20210329,18.7,19.2,18.22,18.58,18.72,-0.14000000000000057,-0.7479,1243638.83,2325148.28
8,600111.SH,20210326,18.01,18.99,17.7,18.72,17.89,0.8299999999999983,4.6395,1649095.31,3018776.485
9,600111.SH,20210325,17.72,18.35,17.62,17.89,17.45,0.4400000000000013,2.5215,1435925.67,2584674.711
10,600111.SH,20210324,18.44,18.67,17.38,17.45,18.46,-1.0100000000000016,-5.4713,1639322.85,2929956.523
11,600111.SH,20210323,19.77,19.88,18.18,18.46,19.72,-1.259999999999998,-6.3895,1893774.84,3557780.535
12,600111.SH,20210322,19.95,20.36,19.41,19.72,19.87,-0.15000000000000213,-0.7549,1238799.17,2461325.432
13,600111.SH,20210319,19.5,20.46,19.38,19.87,20.03,-0.16000000000000014,-0.7988,1515232.44,3039736.855
14,600111.SH,20210318,21.13,21.31,19.98,20.03,21.03,-1.0,-4.7551,1700651.92,3478601.519
15,600111.SH,20210317,20.62,21.36,20.3,21.03,21.14,-0.10999999999999943,-0.5203,1168271.83,2443029.518
16,600111.SH,20210316,22.5,22.56,20.51,21.14,22.21,-1.0700000000000003,-4.8176,2051814.8,4385498.711
17,600111.SH,20210315,21.73,22.93,21.6,22.21,22.38,-0.16999999999999815,-0.7596,1543307.04,3457763.488
18,600111.SH,20210312,22.15,23.2,21.79,22.38,22.24,0.14000000000000057,0.6295,2336296.12,5231997.423
19,600111.SH,20210311,20.85,22.24,20.56,22.24,20.42,1.8199999999999967,8.9128,2408220.95,5172472.795
20,600111.SH,20210310,20.11,20.96,19.28,20.42,20.11,0.3100000000000023,1.5415,2075619.95,4181354.864
21,600111.SH,20210309,21.15,21.35,20.11,20.11,22.34,-2.2300000000000004,-9.9821,2724936.5,5632095.382
22,600111.SH,20210308,22.71,23.38,21.88,22.34,21.59,0.75,3.4738,2825033.84,6413197.381
23,600111.SH,20210305,22.0,22.6,21.19,21.59,23.25,-1.6600000000000001,-7.1398,2302211.73,5054037.199
24,600111.SH,20210304,23.1,24.76,22.9,23.25,23.82,-0.5700000000000003,-2.3929,3424041.09,8099957.705
25,600111.SH,20210303,21.89,24.0,21.72,23.82,22.25,1.5700000000000003,7.0562,3113647.92,7185574.235
26,600111.SH,20210302,23.0,24.58,21.8,22.25,22.76,-0.5100000000000016,-2.2408,4011096.09,9197731.921
27,600111.SH,20210301,20.8,22.76,20.14,22.76,20.69,2.0700000000000003,10.0048,3503464.09,7679912.277
28,600111.SH,20210226,19.1,21.57,18.97,20.69,20.0,0.6900000000000013,3.45,2423659.03,4971819.923
29,600111.SH,20210225,20.78,20.86,19.42,20.0,20.05,-0.05000000000000071,-0.2494,1861751.76,3751403.307
30,600111.SH,20210224,20.8,20.93,19.76,20.05,21.38,-1.3299999999999983,-6.2208,2425061.79,4920441.12
31,600111.SH,20210223,21.45,22.49,20.66,21.38,21.66,-0.28000000000000114,-1.2927,3562800.08,7673121.637
32,600111.SH,20210222,20.38,21.66,20.37,21.66,19.69,1.9699999999999989,10.0051,2115878.16,4544738.796
33,600111.SH,20210219,19.53,20.23,18.88,19.69,20.15,-0.4599999999999973,-2.2829,2078965.08,4069721.383
34,600111.SH,20210218,20.19,20.48,19.37,20.15,18.77,1.379999999999999,7.3522,2426805.66,4843324.101
35,600111.SH,20210210,18.18,19.19,17.76,18.77,18.1,0.6699999999999982,3.7017,2100021.56,3895591.975
36,600111.SH,20210209,16.79,18.38,16.71,18.1,16.76,1.3399999999999999,7.9952,1830433.96,3258684.416
37,600111.SH,20210208,16.32,17.1,15.67,16.76,16.32,0.4400000000000013,2.6961,1519503.91,2502008.113
38,600111.SH,20210205,17.95,18.05,16.25,16.32,18.06,-1.7399999999999984,-9.6346,2124082.36,3613851.694
39,600111.SH,20210204,19.0,19.22,17.66,18.06,19.34,-1.2800000000000011,-6.6184,2295054.44,4235930.169
40,600111.SH,20210203,17.8,19.95,17.64,19.34,18.19,1.1499999999999986,6.3222,2925759.41,5621895.147
41,600111.SH,20210202,17.5,18.49,16.51,18.19,17.01,1.1799999999999997,6.9371,2285835.86,3987346.31
42,600111.SH,20210201,17.25,17.65,16.3,17.01,17.8,-0.7899999999999991,-4.4382,1746837.73,2967326.903
43,600111.SH,20210129,18.4,18.55,17.34,17.8,17.63,0.1700000000000017,0.9643,2213290.6,3984075.486
44,600111.SH,20210128,17.42,18.57,17.42,17.63,18.0,-0.370000000000001,-2.0556,2264380.5,4081659.921
45,600111.SH,20210127,18.39,18.39,17.0,18.0,18.89,-0.8900000000000006,-4.7115,2857181.76,5019358.893
46,600111.SH,20210126,17.52,19.36,17.51,18.89,18.01,0.879999999999999,4.8862,3506055.46,6491500.685
47,600111.SH,20210125,18.6,19.54,17.98,18.01,18.3,-0.28999999999999915,-1.5847,3923862.45,7366451.343
48,600111.SH,20210122,18.49,19.2,18.12,18.3,17.5,0.8000000000000007,4.5714,4612377.16,8567861.977
49,600111.SH,20210121,16.6,17.5,16.55,17.5,15.91,1.5899999999999999,9.9937,1658217.09,2846385.942
50,600111.SH,20210120,14.51,15.91,14.3,15.91,14.46,1.4499999999999993,10.0277,2484505.59,3822385.468
51,600111.SH,20210119,15.2,15.32,14.23,14.46,15.22,-0.7599999999999998,-4.9934,2148810.71,3184637.373
52,600111.SH,20210118,15.0,15.22,14.53,15.22,13.84,1.3800000000000008,9.9711,2359505.35,3562736.014
53,600111.SH,20210115,15.2,15.56,13.77,13.84,15.3,-1.4600000000000009,-9.5425,2503613.92,3634098.179
54,600111.SH,20210114,15.36,15.65,14.8,15.3,15.33,-0.02999999999999936,-0.1957,1586166.22,2403845.914
55,600111.SH,20210113,14.6,15.75,14.6,15.33,14.55,0.7799999999999994,5.3608,2515865.77,3862499.417
56,600111.SH,20210112,14.19,14.55,13.73,14.55,14.29,0.26000000000000156,1.8195,1619158.04,2294612.55
57,600111.SH,20210111,13.85,15.12,13.77,14.29,13.81,0.47999999999999865,3.4757,2553363.86,3700568.371
58,600111.SH,20210108,14.15,14.24,13.32,13.81,13.95,-0.1399999999999988,-1.0036,1237021.35,1688418.233
59,600111.SH,20210107,13.35,14.0,13.29,13.95,13.51,0.4399999999999995,3.2568,1874548.74,2583172.965
60,600111.SH,20210106,13.61,13.75,13.21,13.51,13.56,-0.05000000000000071,-0.3687,1120724.74,1509347.142
61,600111.SH,20210105,13.29,13.79,13.13,13.56,13.45,0.11000000000000121,0.8178,1318891.51,1772620.893
62,600111.SH,20210104,13.01,13.63,13.0,13.45,13.09,0.35999999999999943,2.7502,1456685.44,1947594.249
63,600111.SH,20201231,12.73,13.2,12.68,13.09,12.58,0.5099999999999998,4.0541,1147631.69,1493815.756
64,600111.SH,20201230,12.32,12.83,12.28,12.58,12.3,0.27999999999999936,2.2764,887598.82,1115120.095
65,600111.SH,20201229,13.08,13.08,12.28,12.3,13.05,-0.75,-5.7471,1064459.16,1332408.275
66,600111.SH,20201228,13.17,13.31,12.82,13.05,13.26,-0.20999999999999908,-1.5837,1025843.57,1335533.486
67,600111.SH,20201225,12.58,13.39,12.31,13.26,12.65,0.6099999999999994,4.8221,1440617.31,1865894.716
68,600111.SH,20201224,12.57,12.96,12.5,12.65,12.62,0.030000000000001137,0.2377,946501.84,1202787.081
69,600111.SH,20201223,11.83,12.91,11.8,12.62,11.82,0.7999999999999989,6.7682,1308313.71,1622577.671
70,600111.SH,20201222,12.48,12.52,11.76,11.82,12.6,-0.7799999999999994,-6.1905,1084384.94,1316714.203
71,600111.SH,20201221,12.39,12.73,12.28,12.6,12.44,0.16000000000000014,1.2862,872856.98,1091650.505
72,600111.SH,20201218,12.29,12.78,12.21,12.44,12.36,0.08000000000000007,0.6472,1150217.4,1431906.937
73,600111.SH,20201217,11.68,12.45,11.53,12.36,11.75,0.6099999999999994,5.1915,1228488.17,1485411.286
74,600111.SH,20201216,11.86,12.05,11.67,11.75,11.86,-0.10999999999999943,-0.9275,654036.06,774778.652
75,600111.SH,20201215,11.84,11.98,11.71,11.86,12.0,-0.14000000000000057,-1.1667,510763.76,603773.179
76,600111.SH,20201214,11.9,12.0,11.61,12.0,11.9,0.09999999999999964,0.8403,753615.51,888977.967
77,600111.SH,20201211,12.68,12.82,11.71,11.9,12.45,-0.5499999999999989,-4.4177,1436936.49,1750502.211
78,600111.SH,20201210,12.67,12.69,12.33,12.45,12.63,-0.1800000000000015,-1.4252,825268.16,1029320.456
79,600111.SH,20201209,13.03,13.22,12.55,12.63,13.04,-0.40999999999999837,-3.1442,1042699.85,1338898.154
80,600111.SH,20201208,13.4,13.48,12.97,13.04,13.34,-0.3000000000000007,-2.2489,792624.66,1041039.295
81,600111.SH,20201207,13.25,13.6,13.2,13.34,13.33,0.009999999999999787,0.075,932376.69,1248818.385
82,600111.SH,20201204,13.13,13.52,13.02,13.33,13.12,0.21000000000000085,1.6006,1236251.49,1642891.762
83,600111.SH,20201203,13.5,13.52,12.87,13.12,13.53,-0.41000000000000014,-3.0303,1352821.97,1771624.845
84,600111.SH,20201202,13.73,13.86,13.45,13.53,13.87,-0.33999999999999986,-2.4513,1202564.37,1634190.693
85,600111.SH,20201201,13.57,13.95,13.32,13.87,13.54,0.33000000000000007,2.4372,1655519.52,2266240.927
86,600111.SH,20201130,13.66,14.18,13.54,13.54,13.75,-0.21000000000000085,-1.5273,1987314.44,2753457.408
87,600111.SH,20201127,14.08,14.08,13.41,13.75,14.3,-0.5500000000000007,-3.8462,2043775.35,2807087.105
88,600111.SH,20201126,14.35,14.5,13.64,14.3,13.98,0.3200000000000003,2.289,2848053.94,4013253.457
89,600111.SH,20201125,13.84,14.57,13.75,13.98,13.68,0.3000000000000007,2.193,3491343.24,4925961.957
90,600111.SH,20201124,12.68,13.99,12.57,13.68,12.72,0.9599999999999991,7.5472,2966057.14,3987357.193
