,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601138.SH,20210202,13.93,13.97,13.57,13.7,13.9,-0.20000000000000107,-1.4388,436590.94,598210.981
1,601138.SH,20210201,14.05,14.17,13.73,13.9,14.29,-0.3899999999999988,-2.7292,402254.19,559356.09
2,601138.SH,20210129,14.4,14.56,14.02,14.29,14.21,0.0799999999999983,0.563,434926.71,621419.43
3,601138.SH,20210128,14.61,14.65,14.13,14.21,14.86,-0.6499999999999986,-4.3742,472844.38,677107.023
4,601138.SH,20210127,14.95,15.18,14.75,14.86,14.82,0.03999999999999915,0.2699,361201.21,538605.01
5,601138.SH,20210126,15.02,15.09,14.72,14.82,15.2,-0.379999999999999,-2.5,394089.79,584769.527
6,601138.SH,20210125,14.69,15.21,14.5,15.2,14.75,0.4499999999999993,3.0508,630126.16,938892.286
7,601138.SH,20210122,15.09,15.1,14.44,14.75,15.19,-0.4399999999999995,-2.8966,745960.81,1093175.472
8,601138.SH,20210121,15.15,15.45,15.08,15.19,15.14,0.049999999999998934,0.3303,586762.37,894030.02
9,601138.SH,20210120,15.35,15.48,15.04,15.14,15.1,0.040000000000000924,0.2649,489211.11,742855.894
10,601138.SH,20210119,15.86,15.86,15.05,15.1,15.88,-0.7800000000000011,-4.9118,771931.37,1187756.288
11,601138.SH,20210118,15.26,15.95,15.0,15.88,15.25,0.6300000000000008,4.1311,919827.38,1433424.391
12,601138.SH,20210115,15.57,15.96,15.04,15.25,15.67,-0.41999999999999993,-2.6803,1107618.54,1719919.054
13,601138.SH,20210114,15.15,16.6,15.02,15.67,15.18,0.4900000000000002,3.2279,2127219.08,3396621.476
14,601138.SH,20210113,14.48,15.33,14.43,15.18,14.57,0.6099999999999994,4.1867,1147996.5,1716564.469
15,601138.SH,20210112,14.3,14.59,14.11,14.57,14.36,0.21000000000000085,1.4624,616274.53,884498.846
16,601138.SH,20210111,14.1,14.6,14.05,14.36,14.24,0.11999999999999922,0.8427,615538.29,886733.518
17,601138.SH,20210108,13.86,14.59,13.76,14.24,13.73,0.5099999999999998,3.7145,691275.6,986306.522
18,601138.SH,20210107,13.79,13.92,13.47,13.73,13.87,-0.1399999999999988,-1.0094,359546.62,492614.63
19,601138.SH,20210106,13.96,14.06,13.82,13.87,13.95,-0.08000000000000007,-0.5735,394795.89,549516.909
20,601138.SH,20210105,13.8,13.95,13.6,13.95,13.8,0.14999999999999858,1.087,391093.19,537512.098
21,601138.SH,20210104,13.7,14.0,13.52,13.8,13.69,0.11000000000000121,0.8035,407224.98,559562.012
22,601138.SH,20201231,13.67,13.83,13.58,13.69,13.67,0.019999999999999574,0.1463,244499.83,335039.502
23,601138.SH,20201230,13.49,13.67,13.41,13.67,13.51,0.16000000000000014,1.1843,240461.36,326295.727
24,601138.SH,20201229,13.32,13.6,13.24,13.51,13.27,0.2400000000000002,1.8086,258062.79,348441.09
25,601138.SH,20201228,13.42,13.46,13.21,13.27,13.4,-0.13000000000000078,-0.9701,189971.47,252636.691
26,601138.SH,20201225,13.35,13.42,13.26,13.4,13.38,0.019999999999999574,0.1495,130503.11,174384.323
27,601138.SH,20201224,13.63,13.66,13.32,13.38,13.58,-0.1999999999999993,-1.4728,153371.2,206001.45
28,601138.SH,20201223,13.31,13.63,13.24,13.58,13.27,0.3100000000000005,2.3361,256266.63,344568.621
29,601138.SH,20201222,13.58,13.62,13.24,13.27,13.65,-0.3800000000000008,-2.7839,264234.6,354408.714
30,601138.SH,20201221,13.6,13.75,13.51,13.65,13.65,0.0,0.0,164306.22,223964.913
31,601138.SH,20201218,13.63,13.75,13.57,13.65,13.58,0.07000000000000028,0.5155,134097.55,182896.813
32,601138.SH,20201217,13.53,13.62,13.36,13.58,13.53,0.05000000000000071,0.3695,166844.06,225252.13
33,601138.SH,20201216,13.56,13.82,13.52,13.53,13.56,-0.030000000000001137,-0.2212,190962.0,261107.599
34,601138.SH,20201215,13.36,13.65,13.34,13.56,13.54,0.02000000000000135,0.1477,175056.57,236053.918
35,601138.SH,20201214,13.52,13.55,13.3,13.54,13.47,0.06999999999999851,0.5197,190762.51,256212.041
36,601138.SH,20201211,13.38,13.52,13.3,13.47,13.43,0.040000000000000924,0.2978,243916.26,327120.372
37,601138.SH,20201210,13.76,13.77,13.4,13.43,13.82,-0.39000000000000057,-2.822,400626.13,542256.5
38,601138.SH,20201209,14.17,14.26,13.8,13.82,14.14,-0.3200000000000003,-2.2631,276366.62,388601.465
39,601138.SH,20201208,13.85,14.19,13.75,14.14,13.71,0.4299999999999997,3.1364,412673.09,580007.871
40,601138.SH,20201207,13.82,13.88,13.64,13.71,13.84,-0.129999999999999,-0.9393,226347.74,311049.776
41,601138.SH,20201204,13.8,13.95,13.8,13.84,13.87,-0.02999999999999936,-0.2163,176750.18,245069.57
42,601138.SH,20201203,14.0,14.01,13.8,13.87,14.05,-0.1800000000000015,-1.2811,250908.51,348416.727
43,601138.SH,20201202,14.1,14.12,13.92,14.05,14.08,-0.02999999999999936,-0.2131,187114.24,262345.968
44,601138.SH,20201201,13.76,14.11,13.76,14.08,13.81,0.2699999999999996,1.9551,256343.54,357930.689
45,601138.SH,20201130,13.77,14.07,13.75,13.81,13.83,-0.019999999999999574,-0.1446,281718.47,392622.795
46,601138.SH,20201127,13.96,13.96,13.6,13.83,14.0,-0.16999999999999993,-1.2143,322185.12,442496.441
47,601138.SH,20201126,14.06,14.13,13.98,14.0,14.09,-0.08999999999999986,-0.6388,166364.91,233664.556
48,601138.SH,20201125,14.2,14.3,14.05,14.09,14.17,-0.08000000000000007,-0.5646,250508.89,354656.106
49,601138.SH,20201124,14.15,14.35,14.13,14.17,14.17,0.0,0.0,272420.77,387862.144
50,601138.SH,20201123,14.26,14.29,14.1,14.17,14.25,-0.08000000000000007,-0.5614,320790.06,454599.584
51,601138.SH,20201120,14.35,14.42,14.12,14.25,14.34,-0.08999999999999986,-0.6276,206591.15,294038.017
52,601138.SH,20201119,14.29,14.51,14.22,14.34,14.4,-0.0600000000000005,-0.4167,192071.87,276114.965
53,601138.SH,20201118,14.14,14.47,14.14,14.4,14.14,0.2599999999999998,1.8388,277119.28,396483.074
54,601138.SH,20201117,14.26,14.27,13.96,14.14,14.28,-0.1399999999999988,-0.9804,319859.01,450227.805
55,601138.SH,20201116,14.45,14.48,14.21,14.28,14.35,-0.07000000000000028,-0.4878,241555.63,345094.672
56,601138.SH,20201113,14.31,14.4,14.08,14.35,14.48,-0.13000000000000078,-0.8978,306748.23,437005.782
57,601138.SH,20201112,14.51,14.59,14.3,14.48,14.54,-0.05999999999999872,-0.4127,337647.52,487886.777
