,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma8,ma25,ma8_-1,ma25_-1,close5v,close10v,close20v,close30v,b
4763,000002.SZ,20001031,0.8032,0.8061,0.7784,0.7796,0.8014,-0.0218,-2.7202,30187.0,40263.2139,0.7831125000000001,0.753236,0.7793375,0.751344,10.151359671626476,10.787583376090303,10.605438686505902,10.704207285787584,0
4762,000002.SZ,20001101,0.7813,0.7884,0.7725,0.7825,0.7796,0.0029,0.372,19445.0,25664.6439,0.7845125000000001,0.75484,0.7831125000000001,0.753236,10.173801916932907,10.656869009584664,10.4,10.51373801916933,0
4761,000002.SZ,20001102,0.7855,0.7908,0.7737,0.7796,0.7825,-0.0029,-0.3706,20920.0,27652.3318,0.7850375,0.7562839999999998,0.7845125000000001,0.75484,10.234735761929198,10.719599794766548,10.605438686505902,10.401487942534633,0
4760,000002.SZ,20001103,0.7796,0.7855,0.7754,0.7784,0.7796,-0.0011999999999999,-0.1539,14450.0,19055.0602,0.7852625,0.7579639999999999,0.7850375,0.7562839999999998,10.439362795477905,10.553699897225076,10.765673175745118,10.423946557040082,0
4759,000002.SZ,20001106,0.7784,0.8061,0.7772,0.7961,0.7784,0.0177,2.2739,30531.0,40985.7133,0.7865875,0.7607519999999998,0.7852625,0.7579639999999999,10.51877904785831,10.541389272704434,10.689611857806806,10.23740736088431,0
4758,000002.SZ,20001107,0.7979,0.8008,0.7861,0.7914,0.7961,-0.0047,-0.5904,13686.0,18335.5618,0.7880625,0.7632319999999997,0.7865875,0.7607519999999998,10.626737427343947,10.439727065959062,10.873136214303766,10.298205711397523,0
4757,000002.SZ,20001108,0.7914,0.8061,0.7914,0.7961,0.7914,0.0047,0.5939,23144.0,31320.9709,0.7881375,0.7655719999999997,0.7880625,0.7632319999999997,10.474814721768622,10.51877904785831,10.592890340409497,10.385629945986686,0
4756,000002.SZ,20001109,0.7825,0.7996,0.7825,0.7979,0.7961,0.0018,0.2261,23635.0,31777.307,0.7877000000000001,0.7685279999999995,0.7881375,0.7655719999999997,10.473743576889333,10.657977190124075,10.46622383757363,10.288256673768641,0
4755,000002.SZ,20001110,0.8002,0.8315,0.8002,0.8126,0.7979,0.0146999999999999,1.8423,105772.0,146825.7219,0.791825,0.7718119999999996,0.7877000000000001,0.7685279999999995,10.109524981540734,10.0,10.334728033472803,10.087373861678564,0
4754,000002.SZ,20001113,0.8138,0.8575,0.8067,0.8374,0.8126,0.0248,3.0519,186840.0,265399.2323,0.7986875,0.7758719999999996,0.791825,0.7718119999999996,10.021495103893,9.781466443754478,9.929543826128493,9.880582756149987,0
4753,000002.SZ,20001114,0.8386,0.8504,0.8286,0.841,0.8374,0.0035999999999999,0.4299,77296.0,109908.25,0.8063625,0.7795359999999996,0.7986875,0.7758719999999996,9.824019024970275,9.83115338882283,9.922711058263973,9.859690844233057,0
4752,000002.SZ,20001115,0.841,0.8563,0.8298,0.8339,0.841,-0.0070999999999999,-0.8442,75369.0,107595.8277,0.8132999999999999,0.7834119999999996,0.8063625,0.7795359999999996,10.041971459407604,9.75896390454491,9.86569132989567,9.794939441179997,0
4751,000002.SZ,20001116,0.8339,0.8445,0.8209,0.8357,0.8339,0.0018,0.2159,61396.0,86527.5658,0.8182499999999999,0.7877839999999995,0.8132999999999999,0.7834119999999996,10.175900442742611,9.893502453033385,9.70324279047505,9.766662677994496,0
4750,000002.SZ,20001117,0.8374,0.8416,0.8179,0.8215,0.8357,-0.0141999999999999,-1.6992,43684.0,61015.8249,0.8220124999999999,0.7906679999999995,0.8182499999999999,0.7877839999999995,9.891661594643944,10.200852099817405,9.877054169202678,10.057212416311625,0
4749,000002.SZ,20001120,0.8215,0.841,0.8085,0.8392,0.8215,0.0176999999999999,2.1546,42059.52,58508.9569,0.8273999999999999,0.7947799999999995,0.8220124999999999,0.7906679999999995,9.760486177311726,10.140610104861773,9.71163012392755,10.183508102955196,0
4748,000002.SZ,20001121,0.8398,0.8504,0.8256,0.8262,0.8392,-0.0129999999999999,-1.5491,36626.28,51902.091,0.8309374999999999,0.7976839999999996,0.8273999999999999,0.7947799999999995,10.007262164124908,10.41515371580731,9.864439603001694,10.607601065117404,0
4747,000002.SZ,20001122,0.825,0.8433,0.8179,0.8374,0.8262,0.0111999999999999,1.3556,45309.72,63668.7696,0.8340374999999999,0.8008479999999996,0.8309374999999999,0.7976839999999996,9.71817530451397,10.070456173871507,9.873417721518987,10.480057320277048,0
4746,000002.SZ,20001123,0.8445,0.8652,0.8386,0.8504,0.8374,0.013,1.5524,105555.06,152596.4933,0.8356625,0.8048879999999996,0.8340374999999999,0.8008479999999996,9.722483537158983,9.82008466603951,9.65310442144873,10.37511759172154,0
4745,000002.SZ,20001124,0.8504,0.8581,0.8073,0.8126,0.8504,-0.0378,-4.445,65305.93,92061.8094,0.8321124999999999,0.8065399999999996,0.8356625,0.8048879999999996,10.31257691361063,10.334728033472803,10.087373861678564,11.00295348264829,0
4744,000002.SZ,20001127,0.8091,0.8274,0.7967,0.8191,0.8126,0.0065,0.7999,43796.02,60613.2224,0.8302624999999999,0.8082879999999995,0.8321124999999999,0.8065399999999996,10.389451837382493,10.151385667195703,10.101330728848737,10.843608838969601,0
4743,000002.SZ,20001128,0.8197,0.8327,0.8197,0.8268,0.8191,0.0076999999999999,0.9401,27292.59,38177.1488,0.8291499999999998,0.8102959999999995,0.8302624999999999,0.8082879999999995,10.407595549104984,10.093130140299953,10.02902757619739,11.329221093372038,0
4742,000002.SZ,20001129,0.8292,0.8292,0.8097,0.8138,0.8268,-0.013,-1.5723,24402.89,33697.4183,0.8281874999999997,0.8114279999999995,0.8291499999999998,0.8102959999999995,10.362496927992137,10.109363479970508,10.036864094372081,11.422954042762349,0
4741,000002.SZ,20001130,0.815,0.8386,0.8097,0.8268,0.8138,0.013,1.5974,31587.02,44054.9198,0.8266374999999997,0.8133159999999995,0.8281874999999997,0.8114279999999995,10.100387034349298,9.807692307692307,9.871794871794872,11.121190130624093,0
4740,000002.SZ,20001201,0.8327,0.8504,0.8268,0.838,0.8268,0.0111999999999999,1.3546,88332.28,125481.6924,0.8281124999999997,0.8150159999999995,0.8266374999999997,0.8133159999999995,10.021479713603817,9.682577565632458,9.859188544152746,10.416467780429596,0
4739,000002.SZ,20001204,0.8416,0.8616,0.8357,0.851,0.838,0.013,1.5513,71272.26,102707.5707,0.8298124999999997,0.8169999999999995,0.8281124999999997,0.8150159999999995,9.770857814336075,9.576968272620446,10.042303172737956,10.410105757931845,0
4738,000002.SZ,20001205,0.8599,0.8681,0.851,0.8605,0.851,0.0095,1.1163,89236.25,130182.8455,0.8310749999999998,0.8202359999999996,0.8298124999999997,0.8169999999999995,9.697850087158628,9.471237652527599,10.184776292852991,10.20569436374201,0
4737,000002.SZ,20001206,0.8605,0.8622,0.8368,0.8433,0.8605,-0.0171999999999999,-1.9988,43511.0,62456.3768,0.8349124999999998,0.8226679999999996,0.8310749999999998,0.8202359999999996,9.75572157002253,9.804340092493774,10.4067354440887,10.3853907269062,0
4736,000002.SZ,20001207,0.8392,0.8457,0.8268,0.8351,0.8433,-0.0082,-0.9724,28140.22,39856.9622,0.8369124999999998,0.8248879999999997,0.8349124999999998,0.8226679999999996,9.710214345587355,9.829960483774398,10.565201772242844,10.558017003951623,0
4735,000002.SZ,20001208,0.8357,0.8534,0.8321,0.8398,0.8351,0.0047,0.5628,29235.68,41822.9452,0.8385374999999999,0.8273439999999996,0.8369124999999998,0.8248879999999997,9.661824243867587,9.76065729935699,10.646582519647536,10.021433674684449,0
4734,000002.SZ,20001211,0.8445,0.8469,0.8215,0.8315,0.8398,-0.0082999999999999,-0.9883,34730.24,48902.0867,0.84075,0.8287599999999996,0.8385374999999999,0.8273439999999996,9.801563439567047,9.950691521346965,10.681900180396873,10.185207456404088,0
4733,000002.SZ,20001212,0.8298,0.8374,0.8239,0.8345,0.8315,0.003,0.3608,24640.24,34683.0636,0.8417125000000001,0.8304839999999996,0.84075,0.8287599999999996,9.766327142001197,9.936488915518275,11.224685440383462,9.978430197723187,0
4732,000002.SZ,20001213,0.8351,0.8351,0.8162,0.8227,0.8345,-0.0118,-1.414,24583.65,34358.0541,0.8398000000000001,0.8315479999999996,0.8417125000000001,0.8304839999999996,10.049835906162635,9.928284915522061,11.299380089947732,9.82010453385195,0
4731,000002.SZ,20001214,0.8233,0.8239,0.8091,0.8109,0.8227,-0.0118,-1.4343,34256.85,47198.234,0.8347875000000001,0.8320679999999997,0.8398000000000001,0.8315479999999996,10.123319768158836,10.065359477124185,11.33925268220496,10.138118140337898,0
4730,000002.SZ,20001215,0.8114,0.8209,0.8055,0.8114,0.8109,0.0005,0.0617,16173.17,22244.5304,0.8286500000000001,0.8320199999999996,0.8347875000000001,0.8320679999999997,10.102292334237122,10.18240078876017,10.757949223564209,10.226768548188316,0
4729,000002.SZ,20001218,0.8109,0.8156,0.7973,0.815,0.8114,0.0035999999999999,0.4437,16954.4,23111.8296,0.8251125000000001,0.8311239999999998,0.8286500000000001,0.8320199999999996,10.152147239263805,10.48588957055215,10.86993865030675,10.152147239263805,0
4728,000002.SZ,20001219,0.8179,0.8268,0.8103,0.815,0.815,0.0,0.0,23383.03,32392.2995,0.8226000000000002,0.8300839999999998,0.8251125000000001,0.8311239999999998,10.174233128834357,10.753374233128834,10.775460122699387,10.282208588957056,0
4727,000002.SZ,20001220,0.8179,0.8327,0.812,0.8268,0.815,0.0118,1.4479,36673.77,51077.5341,0.8209750000000002,0.8297999999999998,0.8226000000000002,0.8300839999999998,9.879051765844219,10.614417029511369,10.592646347363328,10.192307692307692,0
4726,000002.SZ,20001221,0.8315,0.8368,0.8197,0.8209,0.8268,-0.0059,-0.7136,30337.72,42508.6628,0.8196500000000002,0.8292079999999998,0.8209750000000002,0.8297999999999998,9.942745766841272,10.747959556584236,10.740650505542696,10.438543062492387,0
4725,000002.SZ,20001222,0.8209,0.828,0.8138,0.8197,0.8209,-0.0011999999999999,-0.1462,20355.26,28181.7453,0.8178000000000002,0.8291359999999999,0.8196500000000002,0.8292079999999998,10.079297303891668,10.907649139929243,10.26717091618885,10.656337684518727,0
4724,000002.SZ,20001225,0.8197,0.8475,0.815,0.8274,0.8197,0.0077,0.9394,31983.7,45340.0285,0.8183875000000002,0.8286639999999998,0.8178000000000002,0.8291359999999999,10.328740633309161,10.734832003867536,10.2356780275562,10.277979211989365,0
4723,000002.SZ,20001226,0.8433,0.8433,0.8244,0.8292,0.8274,0.0018,0.2175,29497.93,41742.715,0.8206750000000002,0.8287839999999999,0.8183875000000002,0.8286639999999998,10.569223347805112,11.296430294259528,10.04220935841775,9.544138929088277,0
4722,000002.SZ,20001227,0.8357,0.838,0.815,0.8168,0.8292,-0.0124,-1.4954,22025.39,30646.6359,0.8213500000000001,0.8279599999999999,0.8206750000000002,0.8287839999999999,10.744368266405486,11.38099902056807,9.89103819784525,9.86900097943193,0
4721,000002.SZ,20001228,0.815,0.8233,0.8144,0.8162,0.8168,-0.0005999999999999,-0.0735,16865.1,23343.9134,0.8215000000000001,0.8265919999999999,0.8213500000000001,0.8279599999999999,10.80985052683166,11.265621171281548,10.072286204361676,10.0,0
