,assets,bdate,sdate,assets_front,assetsv,assetscut
0,27.049999999999272,2016-03-18,2016-04-18,9967.33,0.002713866200878196,0~5%
1,-191.7599999999984,2016-06-23,2016-06-24,9960.88,-0.019251311129137024,-(5~0)%
2,-338.1299999999992,2016-06-27,2016-07-15,9735.3,-0.03473236572062486,-(5~0)%
3,-205.63000000000102,2016-11-03,2016-11-09,9366.68,-0.02195334953259864,-(5~0)%
4,391.39999999999964,2016-11-10,2016-12-05,9130.75,0.04286613914519614,0~5%
5,-66.6200000000008,2017-03-06,2017-03-07,9488.01,-0.00702149344277681,-(5~0)%
6,-185.75,2017-06-05,2017-06-21,9388.47,-0.01978490637984677,-(5~0)%
7,-261.35999999999876,2017-06-27,2017-06-30,9171.98,-0.028495482981864197,-(5~0)%
8,-220.1299999999992,2017-07-03,2017-07-06,8879.88,-0.02478974941102799,-(5~0)%
9,1040.5400000000009,2017-08-03,2017-09-19,8630.4,0.12056683351872462,0~5%
10,-137.23999999999978,2017-10-10,2017-10-11,9638.33,-0.014238981234300941,-(5~0)%
11,-154.95000000000073,2017-11-29,2017-12-12,9469.6,-0.01636288755596865,-(5~0)%
12,-1075.58,2018-01-24,2018-02-06,9281.48,-0.11588453565595142,-(15~10)%
13,-149.02000000000044,2018-02-07,2018-02-08,8178.68,-0.01822054414648824,-(5~0)%
14,-137.57000000000062,2018-03-06,2018-03-07,8003.47,-0.017188794360446232,-(5~0)%
15,56.659999999999854,2018-03-09,2018-03-14,7837.92,0.007228958703329436,0~5%
16,-455.4599999999991,2018-03-21,2018-03-23,7868.98,-0.057880436854585875,-(5~0)%
17,-311.59999999999945,2018-03-27,2018-04-12,7389.78,-0.042166343247024875,-(5~0)%
18,-51.39000000000033,2018-04-13,2018-04-23,7055.02,-0.0072841749562723174,-(5~0)%
19,-17.910000000000764,2018-04-24,2018-05-17,6978.85,-0.0025663253974509788,-(5~0)%
20,-169.32999999999993,2018-05-18,2018-05-23,6938.87,-0.024403108863546935,-(5~0)%
21,-359.8299999999999,2018-07-23,2018-08-01,6745.45,-0.05334410602702561,-(5~0)%
22,-97.63999999999942,2018-08-29,2018-08-30,6362.94,-0.015345107764649583,-(5~0)%
23,164.15999999999985,2018-10-30,2018-11-23,6243.63,0.02629239721123767,0~5%
24,-233.09000000000015,2018-12-03,2018-12-06,6387.91,-0.03648924296053015,-(5~0)%
25,-170.9900000000007,2018-12-13,2018-12-14,6135.02,-0.02787113978438549,-(5~0)%
26,-38.039999999999964,2019-01-25,2019-01-28,5944.69,-0.006398988004420746,-(5~0)%
27,2696.419999999999,2019-02-01,2019-03-22,5886.79,0.45804589598066164,0~5%
28,-463.9800000000005,2019-04-01,2019-04-10,8552.92,-0.05424813981657732,-(5~0)%
29,-397.0799999999999,2019-06-20,2019-07-08,8060.37,-0.049263247220661076,-(5~0)%
30,-206.6300000000001,2019-07-15,2019-08-05,7638.36,-0.027051618410234672,-(5~0)%
31,-327.6199999999999,2019-08-19,2019-08-30,7408.97,-0.04421937192349272,-(5~0)%
32,140.70000000000073,2019-09-02,2019-09-23,7058.86,0.019932397015948854,0~5%
33,-80.05000000000018,2019-12-17,2020-01-21,7176.01,-0.011155224142664262,-(5~0)%
34,-353.6300000000001,2020-01-22,2020-01-23,7072.2,-0.05000282797432201,-(5~0)%
35,-17.920000000000073,2020-02-18,2020-02-19,6695.0,-0.00267662434652727,-(5~0)%
36,172.40999999999985,2020-02-20,2020-03-13,6656.32,0.025901699437527022,0~5%
37,32.909999999999854,2020-04-29,2020-05-21,6807.8,0.0048341608155351,0~5%
38,3720.25,2020-06-01,2020-07-27,6818.48,0.545612805199986,5~10%
39,-91.79999999999927,2020-07-29,2020-08-10,10509.9,-0.008734621642451335,-(5~0)%
40,19.409999999999854,2020-08-31,2020-09-03,10389.84,0.0018681712134161696,0~5%
41,-229.3100000000013,2020-10-20,2020-10-22,10380.36,-0.022090756004608827,-(5~0)%
42,-135.9300000000003,2020-11-06,2020-11-13,10114.76,-0.013438776599741397,-(5~0)%
43,247.67000000000007,2020-11-16,2020-11-24,9951.63,0.02488738025830945,0~5%
44,-20.06999999999971,2020-11-27,2020-12-10,10170.47,-0.001973360129866143,-(5~0)%
45,-155.27999999999884,2020-12-17,2020-12-18,10120.9,-0.015342509065399208,-(5~0)%
46,-412.59000000000015,2020-12-21,2020-12-22,9935.83,-0.04152546893415046,-(5~0)%
47,2291.76,2020-12-28,2021-01-29,9493.63,0.24139975962829818,0~5%
48,-495.40999999999985,2021-02-02,2021-02-03,11745.59,-0.04217838354650553,-(5~0)%
49,-297.4599999999991,2021-02-09,2021-02-19,11222.71,-0.026505184576630703,-(5~0)%
50,1344.0,2021-04-21,2021-05-18,,0.12338278130861026,0~5%
