,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma30,ma5,ma30_rank,ma30_rank_standard,ma5_rank,ma5_rank_standard
4999,000002.SZ,19991101,,,,,,,,3984.0,3801.8324,,,,,,
4998,000002.SZ,19991102,,,,,,,,4045.0,3872.3251,,,,,,
4997,000002.SZ,19991103,,,,,,,,3976.0,3745.2212,,,,,,
4996,000002.SZ,19991104,,,,,,,,4061.0,3793.0658,,,,,,
4995,000002.SZ,19991105,,,,,,,,137972.0,141026.9539,,,,,,
4994,000002.SZ,19991108,,,,,,,,221836.0,242280.1452,,,,,,
4993,000002.SZ,19991109,,,,,,,,96742.0,106733.2365,,,,,,
4992,000002.SZ,19991110,,,,,,,,94433.0,106307.3513,,,,,,
4991,000002.SZ,19991111,,,,,,,,61364.0,66710.3254,,,,,,
4990,000002.SZ,19991112,,,,,,,,24994.0,27208.4225,,,,,,
4989,000002.SZ,19991115,,,,,,,,58912.0,65676.6214,,,,,,
4988,000002.SZ,19991116,,,,,,,,37935.0,42379.3324,,,,,,
4987,000002.SZ,19991117,,,,,,,,146780.0,171083.4054,,,,,,
4986,000002.SZ,19991118,,,,,,,,164878.0,197646.7218,,,,,,
4985,000002.SZ,19991119,,,,,,,,70360.0,83778.3344,,,,,,
4984,000002.SZ,19991122,,,,,,,,49086.0,57379.8124,,,,,,
4983,000002.SZ,19991123,,,,,,,,30995.0,36571.7847,,,,,,
4982,000002.SZ,19991124,,,,,,,,19252.0,22574.2239,,,,,,
4981,000002.SZ,19991125,,,,,,,,47725.0,53653.1071,,,,,,
4980,000002.SZ,19991126,,,,,,,,26806.0,30031.1627,,,,,,
4979,000002.SZ,19991129,,,,,,,,27916.0,31852.73,,,,,,
4978,000002.SZ,19991130,,,,,,,,18713.0,20885.3879,,,,,,
4977,000002.SZ,19991201,,,,,,,,19880.0,22039.4888,,,,,,
4976,000002.SZ,19991202,,,,,,,,22048.0,24127.5041,,,,,,
4975,000002.SZ,19991203,,,,,,,,15925.0,17479.8809,,,,,,
4974,000002.SZ,19991206,,,,,,,,16173.0,18066.5084,,,,,,
