,lable,text
2532,0.15082247146840927,17.5876
2531,0.10032892672727006,17.0572
2530,0.0691538248554649,16.7958
2529,0.04003574620196594,16.0631
2528,-0.002026327366248532,16.0335
2527,-0.0300362590983066,15.7869
2526,-0.05498881901226996,15.6265
2525,-0.08741449073853232,14.5535
2524,-0.10215348898001171,14.5042
2523,-0.10703866206696408,14.8964
2522,-0.11190663677050285,14.8742
2521,-0.11621468777947326,15.0444
2520,-0.12110710798343424,14.9235
2519,-0.1380708436399075,15.3034
2518,-0.14990249244049225,15.2195
2517,-0.18111698902564766,14.6793
2516,-0.20078556120582192,14.0084
2515,-0.21141337827914725,13.9344
2514,-0.22310394741193598,13.4435
2513,-0.1851961321686361,13.3202
2512,-0.13646498114089337,13.3202
2511,-0.1004495546717206,13.1105
2510,-0.07845651828243945,14.8742
2509,-0.0672692536003075,15.1431
2508,-0.06932819822514737,14.9482
2507,-0.104427600020516,14.4524
2506,-0.12866521437498837,13.0982
2505,-0.14184123309176846,13.0735
2504,-0.15090555623530066,12.0967
2503,-0.16481809308868403,12.4593
2502,-0.1501199372635853,12.6665
2501,-0.1444359974438645,12.0893
2500,-0.12974839520878859,11.7785
2499,-0.11771714495483143,11.4208
2498,-0.10628045566951812,12.0868
2497,-0.1022802776133149,12.6196
2496,-0.094430287586458,12.5802
2495,-0.08742393888399189,12.3335
2494,-0.07105651847813026,12.1115
2493,-0.057902522920950474,12.0104
2492,-0.03851784337453994,12.5777
2491,-0.008668623433738835,13.0168
2490,0.015079149447312135,12.8515
2489,0.04192709687483737,13.0562
2488,0.07771131771083181,13.8012
2487,0.11088032765689435,15.3848
2486,0.13560054828834378,16.7736
2485,0.16579965149390105,16.2802
2484,0.17997590923532927,15.9719
2483,0.17755536363539423,17.0202
2482,0.17187577472719098,16.9216
2481,0.15361721499052622,16.4036
2480,0.1370053814498258,15.6167
2479,0.12217316591258688,15.6882
2478,0.11817503708938226,16.0533
2477,0.11320955625709786,15.8954
2476,0.10200908993757733,15.5279
2475,0.09436721525534393,16.1519
2474,0.09150432331330964,15.7622
2473,0.0840796567727834,15.9102
2472,0.07968757681529924,15.7597
2471,0.07860733484318005,16.2506
2470,0.08724599939613527,16.3542
2469,0.0947407047771745,16.4652
2468,0.10074428703372683,16.7711
2467,0.10566450453813689,17.7109
2466,0.09725650170274329,17.5876
2465,0.07661457585475212,17.6616
2464,0.06088675689698733,16.7736
2463,0.04375683380193692,16.5269
2462,0.03293229830180254,16.7366
2461,0.03397826036839795,17.2916
2460,0.03671573891518339,16.7736
2459,0.042505328051221564,16.818
2458,0.05663627045746048,17.4174
2457,0.07639355663127737,17.595
2456,0.08613153967963931,18.3769
2455,0.0801310166441744,18.7716
2454,0.06088252693646755,19.4129
2453,0.03786391935098723,17.8836
2452,0.003994427588632594,16.3024
2451,-0.0014082462253195182,17.1584
2450,0.004164501064513611,17.3853
2449,-0.0037202612501546577,16.5294
2448,-0.011577220294325764,17.2669
2447,-0.019092963769419505,17.1682
2446,-0.05092862144351159,16.7094
2445,-0.09249432167727466,16.4751
2444,-0.13087662298593314,14.5091
2443,-0.1577877422655379,14.8002
2442,-0.15377493667308062,14.2452
2441,-0.15749601982253272,13.4065
2440,-0.14224814842337308,14.1391
2439,-0.13652063788541233,15.1702
2438,-0.12450570111596283,14.2082
2437,-0.13200505964652332,14.8002
2436,-0.1220203139677109,14.3093
2435,-0.11169066215194401,14.2896
2434,-0.11323718176435724,14.5535
2433,-0.10509363925032576,14.6423
2432,-0.09031657229857236,14.9926
2431,-0.08664863379414807,14.0602
2430,-0.0630865000464553,14.5289
2429,-0.030025518419325433,14.7977
2428,0.0015527698823377834,15.2935
2427,0.03001010360680838,16.147
2426,0.0598218119571224,16.2556
2425,0.06856017100561553,16.2802
2424,0.07373729510487331,16.8476
2423,0.07995644984745867,17.3113
2422,0.08780720512020956,16.2753
2421,0.09520638760838888,16.3493
2420,0.11288232696202409,17.7257
2419,0.13228502023715566,17.7627
2418,0.14624762891028906,17.9329
