,date,lable,text
2561,20091030,,
2560,20091102,,
2559,20091103,,
2558,20091104,,
2557,20091105,,
2556,20091109,,
2555,20091110,,
2554,20091111,,
2553,20091112,,
2552,20091113,,
2551,20091116,,
2550,20091117,,
2549,20091118,,
2548,20091119,,
2547,20091120,,
2546,20091123,,
2545,20091124,,
2544,20091125,,
2543,20091201,,
2542,20091202,,
2541,20091203,,
2540,20091204,,
2539,20091207,,
2538,20091208,,
2537,20091209,,
2536,20091210,,
2535,20091211,,
2534,20091214,,
2533,20091215,,
2532,20091216,1.163308822355714,
2531,20091217,1.1080281852835854,
2530,20091218,1.071916797833993,
2529,20091221,1.0398916717230886,
2528,20091222,0.9981163011049269,
2527,20091223,0.9720747231799353,
2526,20091224,0.9481919738429797,
2525,20091225,0.9214962999749241,
2524,20091228,0.9066618843317265,
2523,20091229,0.9035036194848697,
2522,20091230,0.8993024190053638,
2521,20100104,0.8943964950607218,
2520,20100105,0.892965294277293,
2519,20100106,0.8830819624916365,
2518,20100107,0.8745220854244526,
2517,20100108,0.8568393873950508,
2516,20100111,0.8382998530250143,
2515,20100112,0.8270440847465074,
2514,20100113,0.8214559970423377,
2513,20100114,0.8351840287625855,
2512,20100115,0.8708284488655166,
2511,20100118,0.9043379930334344,
2510,20100119,0.9270296633083014,
2509,20100120,0.9415027005126873,
2508,20100121,0.9389633980539268,
2507,20100122,0.91401283724896,
2506,20100125,0.8924190043004048,
2505,20100126,0.8774538447363714,
2504,20100127,0.8718648315820239,
2503,20100128,0.8622571600123311,
2502,20100129,0.8694787866548357,
2501,20100201,0.8749997616191586,
2500,20100202,0.8821616459966662,
2499,20100203,0.8928043788374598,
2498,20100204,0.904175862414314,
2497,20100205,0.9084602561885241,
2496,20100208,0.9153434444127978,
2495,20100209,0.9186403406829617,
2494,20100210,0.9306474393071713,
2493,20100211,0.9437775279369555,
2492,20100212,0.9619286963942927,
2491,20100222,0.9909342359165336,
2490,20100223,1.0160594435467534,
2489,20100224,1.0489744847368523,
2488,20100225,1.0965678881424519,
2487,20100226,1.1328079298098723,
2486,20100301,1.1730554061349912,
2485,20100302,1.2104148023565695,
2484,20100303,1.217572889148303,
2483,20100304,1.2018158254290698,
2482,20100305,1.1979310825379805,
2481,20100308,1.1806955338794176,
2480,20100309,1.157089165133901,
2479,20100310,1.1361768277941937,
2478,20100311,1.1358635527770182,
2477,20100312,1.1279511244683589,
2476,20100315,1.1136990572548635,
2475,20100316,1.1032242581632477,
