,code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000001.SZ,20210607,24.48,24.48,23.93,24.3,24.54,-0.23999999999999844,-0.978,447914.1,1081738.832
1,000001.SZ,20210604,23.99,24.96,23.8,24.54,23.77,0.7699999999999996,3.2394,756739.42,1851425.837
2,000001.SZ,20210603,23.72,24.14,23.68,23.77,23.89,-0.120000000000001,-0.5023,400900.85,958876.472
3,000001.SZ,20210602,23.89,23.92,23.38,23.89,23.92,-0.030000000000001137,-0.1254,497527.02,1176608.126
4,000001.SZ,20210601,24.2,24.25,23.5,23.92,24.2,-0.2799999999999976,-1.157,625017.96,1490476.624
5,000001.SZ,20210531,24.33,24.53,23.91,24.2,24.5,-0.3000000000000007,-1.2245,515350.81,1244209.045
6,000001.SZ,20210528,24.68,24.71,24.16,24.5,24.79,-0.28999999999999915,-1.1698,492400.73,1200523.315
7,000001.SZ,20210527,24.91,25.16,24.52,24.79,25.01,-0.22000000000000242,-0.8796,504091.36,1246712.048
8,000001.SZ,20210526,24.64,25.12,24.5,25.01,24.6,0.41000000000000014,1.6667,919263.78,2286540.248
9,000001.SZ,20210525,23.54,24.73,23.45,24.6,23.48,1.120000000000001,4.77,972374.62,2363145.902
10,000001.SZ,20210524,23.48,23.6,23.19,23.48,23.49,-0.00999999999999801,-0.0426,343935.63,806092.207
11,000001.SZ,20210521,23.88,24.09,23.03,23.49,23.82,-0.33000000000000185,-1.3854,539335.74,1263058.114
12,000001.SZ,20210520,23.41,23.84,23.27,23.82,23.6,0.21999999999999886,0.9322,405788.37,957478.853
13,000001.SZ,20210519,23.82,24.13,23.52,23.6,23.9,-0.29999999999999716,-1.2552,429420.33,1022553.739
14,000001.SZ,20210518,23.85,24.11,23.4,23.9,23.6,0.29999999999999716,1.2712,395414.98,939786.731
15,000001.SZ,20210517,23.15,23.82,22.95,23.6,23.32,0.28000000000000114,1.2007,527564.65,1241605.192
16,000001.SZ,20210514,23.14,23.43,22.6,23.32,22.89,0.4299999999999997,1.8785,563785.36,1300250.943
17,000001.SZ,20210513,23.3365,23.406,22.6618,22.8901,23.3663,-0.4761999999999986,-2.038,549652.5,1271946.298
18,000001.SZ,20210512,23.1083,23.4556,22.7015,23.3663,23.3465,0.01980000000000004,0.0848,533265.26,1245517.716
19,000001.SZ,20210511,23.4358,23.5647,22.8801,23.3465,23.6739,-0.3274000000000008,-1.383,497223.45,1161846.399
