,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30
0,000007.SZ,20210816,4.01,4.23,3.99,4.2,4.03,0.16999999999999993,4.2184,57913.67,23826.967,4.148,48775.17,4.145,50301.206,4.302,55916.268,4.418,73091.9297
1,000007.SZ,20210813,4.12,4.13,4.01,4.03,4.12,-0.08999999999999986,-2.1845,56879.83,22993.516,4.172,50163.566,4.139,52396.789,4.3335,56649.4625,4.42,74488.767
2,000007.SZ,20210812,4.15,4.21,4.11,4.12,4.12,0.0,0.0,33326.29,13790.862,4.212,48700.836,4.172,50698.672,4.3735,57070.834,4.426,74368.8443
3,000007.SZ,20210811,4.28,4.3,4.12,4.12,4.27,-0.14999999999999947,-3.5129,40732.06,17107.232,4.204,50515.452,4.199,52548.383,4.4095,61022.9945,4.426,74455.868
4,000007.SZ,20210810,4.35,4.41,4.27,4.27,4.32,-0.05000000000000071,-1.1574,55024.0,23784.555,4.188,48838.34,4.21,53584.477,4.437,66939.3465,4.4257,74977.5493
5,000007.SZ,20210809,4.21,4.38,4.19,4.32,4.23,0.08999999999999986,2.1277,64855.65,27751.852,4.142,51827.242,4.205,56211.567,4.446,67946.8965,4.4217,75304.1993
6,000007.SZ,20210806,4.06,4.26,4.06,4.23,4.08,0.15000000000000036,3.6765,49566.18,20818.293,4.106,54630.012,4.207,56250.002,4.464,71270.139,4.4153,77009.4257
7,000007.SZ,20210805,4.05,4.1,4.02,4.08,4.04,0.040000000000000036,0.9901,42399.37,17226.234,4.132,52696.508,4.241,57987.197,4.4865,80472.7895,4.4113,79998.7923
8,000007.SZ,20210804,4.04,4.07,4.02,4.04,4.04,0.0,0.0,32346.5,13081.156,4.194,54581.314,4.306,62045.578,4.519,81785.944,4.407,83392.973
9,000007.SZ,20210803,4.12,4.13,4.0,4.04,4.14,-0.09999999999999964,-2.4155,69968.51,28365.594,4.232,58330.614,4.38,64581.528,4.542,84650.7975,4.4047,86871.3977
10,000007.SZ,20210802,4.38,4.39,4.14,4.14,4.36,-0.22000000000000064,-5.0459,78869.5,32911.488,4.268,60595.892,4.459,61531.33,4.5545,84487.2915,4.396,85973.584
11,000007.SZ,20210730,4.4,4.4,4.3,4.36,4.39,-0.02999999999999936,-0.6834,39898.66,17312.566,4.308,57869.992,4.528,60902.136,4.5605,85534.756,4.378,84425.9673
12,000007.SZ,20210729,4.27,4.43,4.25,4.39,4.23,0.15999999999999925,3.7825,51823.4,22578.328,4.35,63277.886,4.575,63442.996,4.553,86203.9305,4.3503,84085.0067
13,000007.SZ,20210728,4.22,4.27,4.02,4.23,4.22,0.010000000000000675,0.237,51093.0,21304.411,4.418,69509.842,4.62,69497.606,4.5395,85409.6105,4.321,84336.11
14,000007.SZ,20210727,4.33,4.4,4.12,4.22,4.34,-0.1200000000000001,-2.765,81294.9,34494.068,4.528,70832.442,4.664,80294.216,4.5335,85674.0855,4.297,86455.2397
15,000007.SZ,20210726,4.51,4.57,4.34,4.34,4.57,-0.23000000000000043,-5.0328,65240.0,28695.405,4.65,62466.768,4.687,79682.226,4.53,84850.5155,4.2733,84995.9097
16,000007.SZ,20210723,4.7,4.73,4.53,4.57,4.73,-0.16000000000000014,-3.3827,66938.13,30741.997,4.748,63934.28,4.721,86290.276,4.5195,87389.1375,4.2483,83770.543
17,000007.SZ,20210722,4.62,4.78,4.56,4.73,4.78,-0.04999999999999982,-1.046,82983.18,38912.887,4.8,63608.106,4.732,102958.382,4.4965,91004.59,4.2167,82926.148
18,000007.SZ,20210721,4.82,4.85,4.75,4.78,4.83,-0.04999999999999982,-1.0352,57706.0,27662.762,4.822,69485.37,4.732,101526.31,4.4575,94066.6705,4.181,81518.03
19,000007.SZ,20210720,4.83,4.84,4.76,4.83,4.83,0.0,0.0,39466.53,18926.01,4.8,89755.99,4.704,104720.067,4.417,98016.3325,4.1413,80349.7913
20,000007.SZ,20210719,4.9,4.9,4.7,4.83,4.83,0.0,0.0,72577.56,34779.296,4.724,96897.684,4.65,107443.253,4.3645,98194.711,4.101,79951.624
21,000007.SZ,20210716,4.8,4.89,4.74,4.83,4.84,-0.009999999999999787,-0.2066,65307.26,31359.205,4.694,108646.272,4.593,110167.376,4.303,96187.883,4.0617,78169.9337
22,000007.SZ,20210715,4.7,4.9,4.65,4.84,4.67,0.16999999999999993,3.6403,112369.5,53573.253,4.664,142308.658,4.531,108964.865,4.238,94406.012,4.0223,77051.601
23,000007.SZ,20210714,4.23,4.67,4.23,4.67,4.45,0.21999999999999975,4.9438,159059.1,71116.93,4.642,133567.25,4.459,101321.615,4.1715,91755.362,3.983,74291.2937
24,000007.SZ,20210713,4.45,4.55,4.45,4.45,4.68,-0.22999999999999954,-4.9145,75175.0,33465.521,4.608,119684.144,4.403,91053.955,4.1135,89535.7515,3.9507,70316.307
25,000007.SZ,20210712,4.7,4.85,4.6,4.68,4.68,0.0,0.0,131320.5,61548.408,4.576,117988.822,4.373,90018.805,4.0665,87652.7515,3.9257,69637.8853
26,000007.SZ,20210709,4.97,4.97,4.49,4.68,4.73,-0.05000000000000071,-1.0571,233619.19,111994.295,4.492,111688.48,4.318,88487.999,4.012,82510.6765,3.8923,66509.9153
27,000007.SZ,20210708,4.68,4.73,4.63,4.73,4.5,0.23000000000000043,5.1111,68662.46,32266.579,4.398,75621.072,4.261,79050.798,3.959,72910.031,3.8593,60661.653
28,000007.SZ,20210707,4.32,4.5,4.32,4.5,4.29,0.20999999999999996,4.8951,89643.57,40203.55,4.276,69075.98,4.183,86607.031,3.9055,71513.89,3.8233,59437.367
