,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30
0,600548.SH,20210519,9.62,9.93,9.62,9.91,9.65,0.2599999999999998,2.6943,33410.37,32818.017,9.876,32060.056,9.913,35728.762,10.0735,39688.6085,10.2033,45038.6493
1,600548.SH,20210518,9.84,9.9,9.59,9.65,9.89,-0.2400000000000002,-2.4267,32666.0,31667.167,9.884,31659.228,9.917,39185.16,10.1035,39816.589,10.2323,46632.8183
2,600548.SH,20210517,10.0,10.02,9.83,9.89,9.95,-0.05999999999999872,-0.603,28490.07,28303.223,9.95,31864.196,9.947,42717.85,10.144,40933.3395,10.2633,48735.9083
3,600548.SH,20210514,10.08,10.09,9.85,9.95,9.98,-0.030000000000001137,-0.3006,34330.76,34084.457,9.954,33430.55,9.971,43611.316,10.1645,41752.3715,10.2777,51387.207
4,600548.SH,20210513,9.97,9.98,9.86,9.98,9.95,0.030000000000001137,0.3015,31403.08,31182.573,9.95,33847.046,9.989,43964.618,10.1895,42247.5255,10.2837,55368.9263
5,600548.SH,20210512,9.98,10.03,9.9,9.95,9.98,-0.030000000000001137,-0.3006,31406.23,31260.986,9.95,39397.468,10.012,44174.11,10.2195,42806.5315,10.268,57342.6577
6,600548.SH,20210511,10.0,10.03,9.88,9.98,9.91,0.07000000000000028,0.7064,33690.84,33564.159,9.95,46711.092,10.042,44408.161,10.251,44029.112,10.244,59535.0937
7,600548.SH,20210510,9.87,10.07,9.8,9.91,9.93,-0.019999999999999574,-0.2014,36321.84,36098.829,9.944,53571.504,10.074,44908.969,10.267,44725.7115,10.2077,58855.193
8,600548.SH,20210507,10.1,10.1,9.85,9.93,9.98,-0.05000000000000071,-0.501,36413.24,36270.456,9.988,53792.082,10.126,43598.252,10.3005,46207.471,10.1733,58276.031
9,600548.SH,20210506,10.08,10.11,9.87,9.98,9.95,0.030000000000001137,0.3015,59155.19,59092.021,10.028,54082.19,10.179,43470.812,10.331,47677.0855,10.138,57836.9563
10,600548.SH,20210430,9.95,10.16,9.8,9.95,9.95,0.0,0.0,67974.35,67686.528,10.074,48950.752,10.234,43648.455,10.3485,49693.593,10.0983,56328.165
11,600548.SH,20210429,10.2,10.2,9.73,9.95,10.13,-0.1800000000000015,-1.7769,67992.9,67044.108,10.134,42105.23,10.29,40448.018,10.39,50356.6475,10.0607,54645.0867
12,600548.SH,20210428,10.13,10.25,9.98,10.13,10.13,0.0,0.0,37424.73,37851.98,10.204,36246.434,10.341,39148.829,10.4215,51744.9375,10.0237,52880.8457
13,600548.SH,20210427,10.23,10.28,10.02,10.13,10.21,-0.08000000000000007,-0.7835,37863.78,38313.319,10.264,33404.422,10.358,39893.427,10.431,55275.1525,9.9817,52250.9877
14,600548.SH,20210426,10.3,10.3,10.07,10.21,10.25,-0.03999999999999915,-0.3902,33498.0,34024.396,10.33,32859.434,10.39,40530.433,10.431,61071.0805,9.9383,51643.1177
15,600548.SH,20210423,10.34,10.45,10.18,10.25,10.3,-0.05000000000000071,-0.4854,33746.74,34665.739,10.394,38346.158,10.427,41438.953,10.396,63926.9315,9.8933,51151.8143
16,600548.SH,20210422,10.45,10.48,10.2,10.3,10.43,-0.129999999999999,-1.2464,38698.92,39873.574,10.446,38790.806,10.46,43650.063,10.345,67098.56,9.8433,50630.2713
17,600548.SH,20210421,10.49,10.53,10.37,10.43,10.46,-0.030000000000001137,-0.2868,23214.67,24215.136,10.478,42051.224,10.46,44542.454,10.2745,65828.305,9.7927,50025.944
18,600548.SH,20210420,10.56,10.56,10.35,10.46,10.53,-0.06999999999999851,-0.6648,35138.84,36732.478,10.452,46382.432,10.475,48816.69,10.197,65614.9205,9.7383,50560.167
19,600548.SH,20210419,10.44,10.66,10.3,10.53,10.51,0.019999999999999574,0.1903,60931.62,63716.081,10.45,48201.432,10.483,51883.359,10.1175,65020.0285,9.6823,50173.084
20,600548.SH,20210416,10.49,10.6,10.31,10.51,10.46,0.049999999999998934,0.478,35969.98,37722.813,10.46,44531.748,10.463,55738.731,10.0305,62668.02,9.6217,49131.3633
21,600548.SH,20210415,10.38,10.54,10.2,10.46,10.3,0.16000000000000014,1.5534,55001.01,57419.49,10.474,48509.32,10.49,60265.277,9.946,61743.621,9.5557,48637.0977
22,600548.SH,20210414,10.35,10.41,10.05,10.3,10.45,-0.14999999999999858,-1.4354,44870.71,46012.532,10.442,47033.684,10.502,64341.046,9.865,59746.854,9.4937,47422.6223
23,600548.SH,20210413,10.58,10.64,10.34,10.45,10.58,-0.13000000000000078,-1.2287,44233.84,46261.95,10.498,51250.948,10.504,70656.878,9.7935,58429.768,9.4377,46381.1033
24,600548.SH,20210412,10.64,10.67,10.43,10.58,10.58,0.0,0.0,42583.2,44964.556,10.516,55565.286,10.472,81611.728,9.7125,57199.46,9.3753,45305.923
25,600548.SH,20210409,10.35,10.65,10.32,10.58,10.3,0.27999999999999936,2.7184,55857.84,58821.217,10.466,66945.714,10.365,86414.91,9.6265,56008.245,9.311,44664.5803
26,600548.SH,20210408,10.55,10.55,10.28,10.3,10.58,-0.27999999999999936,-2.6465,47622.83,49340.265,10.506,72021.234,10.23,90547.057,9.535,54120.3755,9.2473,43553.3423
