date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-02-28,1.23,1.27,1.23,1.22,33744324.0,-0.07,-5.38,1.332,1.28,1.179,37646827.2,24806070.5,17508935.13
2020-02-27,1.32,1.34,1.3,1.27,29315700.0,-0.02,-1.51,1.344,1.27,1.174,34182506.6,22196804.9,16451406.93
2020-02-26,1.38,1.4,1.32,1.3,43101432.0,-0.1,-7.04,1.334,1.252,1.167,30502009.0,20156718.6,15352748.0
2020-02-25,1.37,1.43,1.42,1.3,51514464.0,0.03,2.16,1.31,1.232,1.157,24505497.4,16700856.0,13430012.93
2020-02-24,1.32,1.4,1.39,1.29,30558216.0,0.1,7.75,1.268,1.2,1.142,16327548.6,12465628.7,11085769.5
2020-02-21,1.25,1.3,1.29,1.24,16422721.0,0.04,3.2,1.228,1.169,1.127,11965313.8,10080186.75,9710018.4
2020-02-20,1.2,1.25,1.25,1.2,10913212.0,0.05,4.17,1.196,1.148,1.117,10211103.2,9367305.55,9018353.75
2020-02-19,1.2,1.23,1.2,1.19,13118874.0,-0.01,-0.83,1.17,1.129,1.109,9811428.2,9336693.45,8695297.2
2020-02-18,1.19,1.21,1.21,1.17,10624720.0,0.02,1.68,1.154,1.113,1.103,8896214.6,9338761.15,8316663.35
2020-02-17,1.14,1.19,1.19,1.14,8747042.0,0.06,5.31,1.132,1.096,1.097,8603708.8,9814001.65,7980384.6
2020-02-14,1.11,1.15,1.13,1.11,7651668.0,0.01,0.89,1.11,1.078,1.091,8195059.7,10211799.75,7795482.45
2020-02-13,1.11,1.14,1.12,1.1,8914837.0,0.0,0.0,1.1,1.077,1.087,8523507.9,10706008.95,7769563.38
2020-02-12,1.09,1.12,1.12,1.09,8542806.0,0.02,1.82,1.088,1.081,1.081,8861958.7,10548777.4,7568688.83
2020-02-11,1.08,1.11,1.1,1.08,9162191.0,0.02,1.85,1.072,1.081,1.077,9781307.7,10159169.85,7310276.28
2020-02-10,1.07,1.08,1.08,1.06,6703796.5,0.0,0.0,1.06,1.084,1.074,11024294.5,9705910.3,7067570.5
2020-02-07,1.06,1.08,1.08,1.06,9293909.0,0.02,1.89,1.046,1.085,1.072,12228539.8,9339850.05,6948165.35
2020-02-06,1.04,1.07,1.06,1.03,10607091.0,0.02,1.92,1.054,1.086,1.069,12888510.0,8669401.95,6780372.55
2020-02-05,1.04,1.08,1.04,1.04,13139551.0,0.0,0.0,1.074,1.089,1.066,12235596.1,8053900.95,6390158.05
2020-02-04,1.01,1.04,1.04,1.0,15377125.0,0.03,2.97,1.09,1.093,1.063,10537032.0,7294565.55,5988292.05
2020-02-03,1.01,1.02,1.01,1.01,12725023.0,-0.11,-9.82,1.108,1.098,1.06,8387526.1,6146767.55,5594480.0
2020-01-23,1.14,1.16,1.12,1.09,12593760.0,-0.04,-3.45,1.124,1.103,1.06,6451160.3,5379165.15,5127701.3
2020-01-22,1.11,1.17,1.16,1.1,7342521.5,0.04,3.57,1.118,1.096,1.055,4450293.9,4833117.8,4710427.45
2020-01-21,1.13,1.14,1.12,1.12,4646730.5,-0.01,-0.89,1.104,1.081,1.046,3872205.8,4588600.25,4529989.79
2020-01-20,1.09,1.13,1.13,1.09,4629595.5,0.04,3.67,1.096,1.073,1.039,4052099.1,4461382.7,4732319.06
2020-01-17,1.09,1.1,1.09,1.08,3043194.0,0.0,0.0,1.088,1.064,1.033,3906009.0,4429230.7,4788654.59
2020-01-16,1.09,1.1,1.09,1.08,2589428.0,0.0,0.0,1.082,1.058,1.029,4307170.0,4556480.65,4920008.69
2020-01-15,1.08,1.09,1.09,1.07,4452081.0,0.01,0.93,1.074,1.051,1.026,5215941.7,4891343.15,4927196.94
2020-01-14,1.1,1.1,1.08,1.08,5546197.0,-0.01,-0.92,1.058,1.042,1.024,5304994.7,4726415.15,4892524.28
2020-01-13,1.06,1.1,1.09,1.05,3899145.0,0.03,2.83,1.05,1.033,1.021,4870666.3,4682018.55,4828094.58
2020-01-10,1.05,1.06,1.06,1.05,5048999.0,0.01,0.95,1.04,1.022,1.017,4952452.4,5042192.45,4755141.59
2020-01-09,1.02,1.05,1.05,1.02,7133286.5,0.04,3.96,1.034,1.017,1.014,4805791.3,4876237.45,4621161.38
2020-01-08,1.03,1.03,1.01,1.01,4897346.0,-0.03,-2.88,1.028,1.013,1.011,4566744.6,4587737.1,4349025.45
2020-01-07,1.04,1.04,1.04,1.03,3374555.0,0.0,0.0,1.026,1.011,1.01,4147835.6,4471379.33,4208432.8
2020-01-06,1.02,1.05,1.04,1.02,4308075.5,0.01,0.97,1.016,1.004,1.008,4493370.8,5003255.43,4121799.55
2020-01-03,1.03,1.04,1.03,1.02,4315693.5,0.01,0.98,1.004,1.001,1.005,5131932.5,5148078.48,4060854.43
2020-01-02,1.0,1.03,1.02,1.0,5938053.0,0.02,2.0,1.0,1.0,1.003,4946683.6,5283536.73,4046288.35
2019-12-31,0.99,1.0,1.0,0.99,2802801.0,0.01,1.01,0.998,1.001,1.0,4608729.6,4963050.73,3805942.65
2019-12-30,0.98,1.0,0.99,0.96,5102231.0,0.01,1.02,0.996,1.005,0.998,4794923.05,5058633.4,3736894.05
2019-12-27,1.01,1.01,0.98,0.98,7500884.0,-0.03,-2.97,0.992,1.009,0.996,5513140.05,4974170.6,3552437.3
2019-12-26,1.01,1.01,1.01,1.0,3389449.0,0.0,0.0,0.998,1.011,0.994,5164224.45,4468090.73,3226736.9
2019-12-25,0.99,1.02,1.01,0.99,4248283.0,0.02,2.02,1.0,1.01,0.991,5620389.85,4366085.3,3126727.19
2019-12-24,0.98,0.99,0.99,0.97,3733768.25,0.02,2.06,1.004,1.008,0.988,5317371.85,4110313.8,3022687.34
2019-12-23,1.0,1.0,0.97,0.97,8693316.0,-0.04,-3.96,1.014,1.009,0.986,5322343.75,3945486.28,2939422.93
2019-12-20,1.02,1.02,1.01,1.01,5756306.0,-0.01,-0.98,1.026,1.011,0.984,4435201.15,3240343.68,2709270.98
2019-12-19,1.03,1.03,1.02,1.01,5670276.0,-0.01,-0.97,1.024,1.009,0.982,3771957.0,2973630.38,2609379.13
2019-12-18,1.04,1.05,1.03,1.03,2733193.0,-0.01,-0.96,1.02,1.005,0.979,3111780.75,2809039.98,2396727.98
2019-12-17,1.03,1.04,1.04,1.03,3758627.75,0.01,0.97,1.012,0.998,0.977,2903255.75,2648834.58,2344600.73
2019-12-16,1.01,1.03,1.03,1.01,4257603.0,0.03,3.0,1.004,0.99,0.974,2568628.8,2415154.7,2288789.74
2019-12-13,1.01,1.01,1.0,1.0,2440085.25,0.0,0.0,0.996,0.982,0.971,2045486.2,2130704.0,2133293.34
2019-12-12,0.99,1.0,1.0,0.99,2369394.75,0.01,1.01,0.994,0.977,0.969,2175303.75,1985383.08,2104007.36
2019-12-11,1.0,1.0,0.99,0.99,1690568.0,-0.01,-1.0,0.99,0.972,0.968,2506299.2,1887369.08,2099955.62
2019-12-10,0.99,1.0,1.0,0.98,2085493.0,0.01,1.01,0.984,0.968,0.967,2394413.4,1935060.88,2090843.12
2019-12-09,0.99,1.0,0.99,0.99,1641890.0,0.0,0.0,0.976,0.962,0.965,2261680.6,1933359.58,2163392.77
2019-12-06,0.98,0.99,0.99,0.98,3089173.0,0.01,1.02,0.968,0.957,0.964,2215921.8,2178198.28,2229780.57
2019-12-05,0.96,0.98,0.98,0.96,4024372.0,0.02,2.08,0.96,0.954,0.964,1795462.4,2245127.88,2248439.54
2019-12-04,0.95,0.96,0.96,0.95,1131139.0,0.0,0.0,0.954,0.953,0.964,1268438.95,1984415.99,2111009.09
2019-12-03,0.95,0.96,0.96,0.95,1421829.0,0.01,1.05,0.952,0.955,0.965,1475708.35,2040366.89,2169460.74
2019-12-02,0.95,0.96,0.95,0.95,1413096.0,0.0,0.0,0.948,0.958,0.967,1605038.55,2162424.79,2187831.73
2019-11-29,0.95,0.95,0.95,0.94,986876.0,0.0,0.0,0.946,0.96,0.97,2140474.75,2135882.69,2302244.52
2019-11-28,0.94,0.95,0.95,0.94,1389254.75,0.0,0.0,0.948,0.961,0.971,2694793.35,2222631.65,2327120.17
2019-11-27,0.94,0.95,0.95,0.93,2167486.0,0.01,1.06,0.952,0.964,0.972,2700393.02,2312542.17,2326901.03
2019-11-26,0.95,0.95,0.94,0.94,2068480.0,0.0,0.0,0.958,0.965,0.973,2605025.42,2246625.37,2297376.23
2019-11-25,0.96,0.96,0.94,0.94,4090277.0,-0.02,-2.08,0.968,0.967,0.975,2719811.02,2393425.97,2282262.28
2019-11-22,0.97,0.99,0.96,0.96,3758469.0,-0.01,-1.03,0.974,0.97,0.978,2131290.62,2281362.87,2233321.56
2019-11-21,0.97,0.98,0.97,0.97,1417253.12,-0.01,-1.02,0.974,0.973,0.979,1750469.95,2251751.2,2161455.64
